frame,inference_time_ms,num_detections,detected_classes
0,53.586721420288086,0,
1,20.570039749145508,1,baseball bat
2,19.320964813232422,0,
3,20.637989044189453,0,
4,19.551992416381836,0,
5,21.06308937072754,1,baseball bat
6,20.326614379882812,1,baseball bat
7,19.414663314819336,0,
8,19.883155822753906,1,baseball bat
9,19.449234008789062,0,
10,19.617080688476562,0,
11,21.706104278564453,0,
12,20.264387130737305,1,baseball bat
13,20.780324935913086,0,
14,19.796371459960938,0,
15,19.545316696166992,0,
16,19.72675323486328,0,
17,19.605398178100586,0,
18,19.788503646850586,0,
19,19.54817771911621,0,
20,19.685029983520508,0,
21,20.86472511291504,0,
22,19.90342140197754,0,
23,19.763708114624023,0,
24,21.29840850830078,0,
25,19.58322525024414,0,
26,19.698381423950195,0,
27,19.579648971557617,0,
28,19.608497619628906,0,
29,19.405841827392578,0,
30,19.537687301635742,0,
31,20.232677459716797,0,
32,19.44446563720703,0,
33,19.372224807739258,0,
34,20.95651626586914,0,
35,19.086837768554688,0,
36,19.34647560119629,0,
37,19.292116165161133,0,
38,19.33002471923828,0,
39,19.500255584716797,0,
40,19.384145736694336,0,
41,19.322872161865234,0,
42,19.357919692993164,0,
43,19.627809524536133,0,
44,19.889354705810547,0,
45,19.591808319091797,0,
46,19.747257232666016,0,
47,19.521713256835938,0,
48,19.411802291870117,0,
49,19.97542381286621,0,
50,19.516706466674805,0,
51,19.620656967163086,0,
52,19.653797149658203,0,
53,19.795894622802734,0,
54,19.82879638671875,0,
55,21.345853805541992,0,
56,19.627809524536133,0,
57,19.642353057861328,0,
58,19.632339477539062,0,
59,19.310951232910156,0,
60,19.10543441772461,0,
61,19.372224807739258,0,
62,20.393848419189453,0,
63,19.34814453125,0,
64,19.145965576171875,0,
65,20.17688751220703,0,
66,19.10114288330078,0,
67,19.003868103027344,0,
68,19.79851722717285,0,
69,18.835067749023438,0,
70,18.889188766479492,0,
71,19.124746322631836,0,
72,18.852949142456055,0,
73,18.947601318359375,0,
74,18.907546997070312,0,
75,19.8819637298584,0,
76,18.929719924926758,0,
77,19.00458335876465,0,
78,18.89944076538086,0,
79,18.79596710205078,0,
80,18.898487091064453,1,skateboard
81,18.462181091308594,0,
82,18.382549285888672,0,
83,18.635034561157227,0,
84,18.863677978515625,0,
85,18.71633529663086,0,
86,20.293474197387695,0,
87,18.526554107666016,0,
88,18.701791763305664,0,
89,18.094778060913086,0,
90,18.485307693481445,0,
91,18.49961280822754,0,
92,18.57137680053711,0,
93,18.305540084838867,0,
94,18.395662307739258,0,
95,18.27239990234375,0,
96,18.648862838745117,0,
97,18.380403518676758,0,
98,18.717288970947266,0,
99,18.2192325592041,0,
100,20.04265785217285,1,baseball bat
101,20.257949829101562,0,
102,19.005537033081055,0,
103,19.14525032043457,0,
104,19.230127334594727,0,
105,18.65363121032715,0,
106,18.411874771118164,0,
107,19.706249237060547,0,
108,18.76521110534668,0,
109,18.523216247558594,0,
110,19.107580184936523,0,
111,19.408464431762695,0,
112,18.636465072631836,0,
113,18.541812896728516,0,
114,19.443035125732422,0,
115,19.371747970581055,0,
116,19.498825073242188,0,
117,21.376371383666992,0,
118,19.71292495727539,0,
119,19.85907554626465,0,
120,19.619226455688477,1,car
121,18.921613693237305,0,
122,19.12093162536621,0,
123,19.25969123840332,0,
124,19.122600555419922,0,
125,19.356966018676758,0,
126,19.530534744262695,0,
127,19.407033920288086,0,
128,19.66714859008789,0,
129,19.78135108947754,0,
130,19.896984100341797,0,
131,19.86527442932129,0,
132,19.919872283935547,0,
133,20.511627197265625,0,
134,19.922971725463867,0,
