MAIN 0x0000 0x001e8270
ADC0 0x0001 0x00140210
PACR1 0x0004 0x00e967fd
PACR2 0x0005 0x000805b4
SFCTL 0x0006 0x001027ff
SADC_CTRL 0x0007 0x00010f00
CSP_I_0 0x0008 0x00000000
CSP_I_1 0x0009 0x00000000
CSP_I_2 0x000a 0x00000000
CSCI 0x000b 0x00000be0
CSP_D_0 0x000c 0x00000000
CSP_D_1 0x000d 0x00000000
CSP_D_2 0x000e 0x00000000
CSCDS 0x000f 0x00000b60
CS1_U_0 0x0010 0x00133c51
CS1_U_1 0x0011 0x005ff41f
CS1_U_2 0x0012 0x0070318c
CS1 0x0016 0x00000490
CS2 0x001d 0x00000480
CS3 0x0024 0x00000480
CS4 0x002b 0x00000480
CCR0 0x002c 0x0011be0e
CCR1 0x002d 0x006e740a
CCR2 0x002e 0x0000f000
CCR3 0x002f 0x00787e1e
PLL1_0 0x0030 0x00a98b66
PLL1_1 0x0031 0x000000c7
PLL1_2 0x0032 0x00001432
PLL1_3 0x0033 0x00000200
PLL1_4 0x0034 0x00000000
PLL1_5 0x0035 0x00000000
PLL1_6 0x0036 0x00000000
PLL1_7 0x0037 0x00321d10
PLL2_7 0x003f 0x00000100
PLL3_7 0x0047 0x00000100
PLL4_7 0x004f 0x00000100
RFT1 0x0056 0x00000000
SDFT0 0x005b 0x00000000
